epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,2948.8,1.43405,1.35425,1.66297,0.58146,0.7502,0.7469,0.43733,1.46976,1.2933,1.65838,0.000253024,0.000253024,0.000253024
69,2992.49,1.43086,1.35616,1.66306,0.76235,0.61923,0.74028,0.44041,1.44383,1.27837,1.63863,0.000239766,0.000239766,0.000239766
70,3037.02,1.41951,1.34182,1.66143,0.63373,0.73399,0.73875,0.40713,1.67109,1.24362,1.80108,0.000226769,0.000226769,0.000226769
71,3080.16,1.36745,1.24158,1.63328,0.77598,0.65861,0.78262,0.43025,1.57974,1.26036,1.72026,0.000214046,0.000214046,0.000214046
72,3123.37,1.35103,1.21618,1.62926,0.69476,0.73629,0.78177,0.43981,1.57062,1.24631,1.72538,0.000201611,0.000201611,0.000201611
73,3167.14,1.35361,1.21997,1.62914,0.6601,0.71141,0.74225,0.44926,1.49956,1.25234,1.67263,0.000189475,0.000189475,0.000189475
74,3210.22,1.33886,1.2042,1.6171,0.66564,0.73929,0.77981,0.45257,1.52062,1.20883,1.69837,0.000177651,0.000177651,0.000177651
75,3252.39,1.33684,1.1986,1.61233,0.72282,0.72102,0.78476,0.45775,1.52778,1.22223,1.707,0.000166149,0.000166149,0.000166149
76,3294.79,1.32711,1.19274,1.61237,0.71344,0.68608,0.77095,0.44476,1.52371,1.22164,1.71693,0.000154982,0.000154982,0.000154982
77,3338.04,1.32609,1.18346,1.60104,0.82547,0.67843,0.7915,0.46642,1.4848,1.17744,1.67023,0.000144161,0.000144161,0.000144161
78,3379.94,1.30736,1.16972,1.60269,0.63553,0.69353,0.75018,0.46128,1.47226,1.22661,1.64986,0.000133695,0.000133695,0.000133695
79,3424.18,1.30636,1.14745,1.59103,0.7172,0.665,0.75094,0.439,1.5036,1.1995,1.67609,0.000123596,0.000123596,0.000123596
80,3466.28,1.30745,1.1536,1.5962,0.75482,0.68788,0.78659,0.46307,1.51707,1.19169,1.71671,0.000113873,0.000113873,0.000113873
