epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,3697.05,0.94916,0.74979,1.42156,0.74841,0.67891,0.73735,0.42501,1.69507,1.1725,2.12759,0.0001288,0.0001288,0.0001288
90,3737.75,0.96127,0.74446,1.42682,0.84506,0.70748,0.76242,0.4409,1.6864,1.13969,2.15332,0.0001189,0.0001189,0.0001189
91,3777.82,0.94919,0.75077,1.40882,0.69087,0.68533,0.74709,0.45063,1.65742,1.15548,2.08201,0.000109,0.000109,0.000109
92,3819.11,0.94467,0.72998,1.41682,0.81039,0.60905,0.73507,0.42326,1.66916,1.22317,2.09948,9.91e-05,9.91e-05,9.91e-05
93,3860.64,0.92381,0.70838,1.38941,0.80356,0.65586,0.74514,0.44221,1.6647,1.13562,2.1278,8.92e-05,8.92e-05,8.92e-05
94,3900.63,0.91349,0.71314,1.39163,0.80917,0.68021,0.73842,0.44746,1.64002,1.0899,2.11868,7.93e-05,7.93e-05,7.93e-05
95,3940.69,0.92095,0.71306,1.39326,0.72606,0.67822,0.722,0.45524,1.61641,1.09993,2.09389,6.94e-05,6.94e-05,6.94e-05
96,3981.67,0.90237,0.70384,1.38255,0.74438,0.64367,0.70261,0.44182,1.61445,1.12701,2.08722,5.95e-05,5.95e-05,5.95e-05
97,4021.98,0.89252,0.69054,1.36792,0.83089,0.66231,0.72131,0.44735,1.64615,1.10346,2.13794,4.96e-05,4.96e-05,4.96e-05
98,4062.45,0.89406,0.68597,1.37034,0.82327,0.61969,0.71115,0.43607,1.65897,1.15105,2.12981,3.97e-05,3.97e-05,3.97e-05
99,4105.21,0.89132,0.69267,1.37395,0.81712,0.63182,0.71587,0.44535,1.6403,1.13048,2.1029,2.98e-05,2.98e-05,2.98e-05
100,4148.63,0.89315,0.69175,1.36542,0.80998,0.63816,0.72034,0.45424,1.60274,1.13638,2.06779,1.99e-05,1.99e-05,1.99e-05
